Partno,Judgement1,Reason_Answer,Ride_Horse,Compact_Car,March_Walk,Cherry_Sign,Sign_Stop,Habit_Coke,Carry_Lift,Goose_Chicken,String_Thread,Fruit_Orange,Travel_Go,Dress_Skirt,America_USA,Crocodile_Alligator,Scent_Perfume,Crayon_Yellow,Wasp_Hornet,Three_Four,Drunk_Booze,Violin_Instrument
1,associative,10,4,3,10,4,10,10,10,10,10,10,20,10,5,10,5,10,10,3,3,5
2,associative,,,,,,,,,,,,,,,,,,,,,
3,associative,,,20,,,,,,,10,20,,,,,,,50,,,
4,associative,70,67,68,77,35,70,15,79,55,80,85,45,32,80,90,85,48,35,73,62,55
5,associative,20,50,99,60,50,70,10,60,40,99,50,30,99,100,80,90,20,99,99,99,70
6,associative,2,2,80,5,30,30,2,50,2,20,80,5,50,90,90,5,10,10,10,5,80
7,associative,30,30,70,60,80,90,10,40,40,40,50,20,60,60,45,60,20,70,50,30,40
8,associative,50,60,80,40,12,70,12,20,60,35,24,40,75,90,90,40,10,35,65,10,20
9,associative,4,35,33,45,76,54,2,45,23,34,3,44,65,66,95,34,43,34,2,2,34
10,associative,15,20,10,10,10,15,5,25,20,35,20,15,60,70,70,20,10,30,75,10,25
11,associative,90,50,50,35,35,50,20,55,30,90,70,30,80,100,99,90,30,40,25,80,75
12,associative,60,40,80,35,30,75,30,30,30,50,60,80,80,90,70,75,50,60,20,20,60
13,associative,100,100,25,100,25,100,50,100,25,100,50,100,25,100,50,100,50,50,100,100,25
14,associative,50,35,10,23,15,10,22,30,60,22,15,28,42,95,69,15,15,50,20,44,56
15,associative,30,80,5,20,20,80,2,25,25,10,30,20,20,80,65,60,20,30,30,60,50
16,associative,50,60,90,80,50,80,10,40,30,40,20,60,60,30,40,50,10,40,80,50,40
17,associative,15,95,5,20,80,80,50,85,75,95,40,75,20,99,85,50,5,80,40,50,20
18,associative,50,30,60,25,40,50,10,50,20,40,30,20,40,75,20,70,15,40,45,50,45
19,associative,70,55,90,45,50,65,35,50,45,65,40,35,40,70,70,90,35,40,45,40,70
20,associative,60,40,70,75,90,90,40,60,70,90,75,80,70,100,80,70,50,80,80,80,45
21,associative,,,,,,,,,,,,,,,,,,,,,
