Partno,Judgement3,Catholic_School,Back_Front,Baby_Cuddle,Grab_Pull,Snake_Long,Sense_Touch,Money_Bank,Mink_Fur,Drum_Band,Hatchet_Knife,Hip_Bone,Doctor_Nurse,Wrist_Arm,Tack_Nail,Jesus_Christ,Cherry_Apple,Dust_Clean,Blonde_Brown,Bottle_Jar,Green_Yellow,Idea_Mind
1,thematic,6,5,6,4,8,6,7,8,6,5,5,8,6,6,8,7,7,6,6,9,6
2,thematic,,,,,,,,,,,,,,,,,,,,,
3,thematic,80,,,,100,100,,,100,,80,100,,,,100,,,500,,
4,thematic,45,75,45,75,60,75,70,60,60,40,57,80,59,45,90,45,60,70,60,56,55
5,thematic,99,99,60,99,99,70,99,99,99,99,60,99,99,90,99,99,99,40,99,30,99
6,thematic,10,80,50,50,2,90,60,90,90,2,50,80,2,2,90,15,15,15,15,25,50
7,thematic,100,80,50,80,80,90,90,70,80,60,100,70,70,70,100,70,40,60,80,70,90
8,thematic,30,30,32,80,30,35,95,100,90,5,25,90,50,12,100,30,70,90,30,70,85
9,thematic,11,93,11,12,23,92,98,38,98,18,49,93,85,31,10,27,93,12,32,2,84
10,thematic,40,70,40,60,20,60,80,50,60,50,60,80,50,50,100,50,35,60,50,70,40
11,thematic,70,10,70,90,50,90,90,70,90,90,50,90,50,90,100,50,50,20,60,50,90
12,thematic,50,100,35,50,30,100,30,40,30,40,100,20,100,40,50,0,40,20,20,0,100
13,thematic,50,100,50,100,100,100,50,100,50,50,100,100,100,100,100,25,50,100,100,25,100
14,thematic,85,52,100,85,50,65,100,50,100,90,100,100,95,25,100,85,100,15,,50,
15,thematic,80,50,40,50,75,30,80,20,50,60,75,80,60,40,100,40,30,50,40,50,50
16,thematic,60,80,40,30,30,70,90,70,90,30,70,70,80,40,95,40,70,40,60,60,80
17,thematic,50,100,100,80,50,100,99,50,20,50,99,100,100,100,100,50,100,50,20,850,80
18,thematic,45,75,15,65,40,55,80,55,30,25,50,65,30,50,80,20,25,30,80,50,40
19,thematic,80,90,70,90,75,95,80,90,70,75,80,85,85,60,95,80,80,80,70,75,80
20,thematic,60,80,60,80,30,80,90,80,90,90,90,90,80,75,90,75,70,90,80,90,75
21,thematic,,,,,,,,,,,,,,,,,,,,,
22,thematic,40,90,75,80,95,100,80,100,100,95,60,100,100,90,100,90,90,80,100,80,100
23,thematic,0,100,50,80,90,50,80,40,60,80,60,100,80,50,100,20,100,90,70,50,30
24,thematic,20,50,50,90,70,50,100,90,70,30,50,80,50,80,100,50,90,10,90,30,90
25,thematic,50,15,25,60,75,70,35,75,65,80,70,80,40,25,95,50,90,30,60,10,95
26,thematic,45,90,60,75,30,90,80,80,85,80,75,85,95,75,100,90,80,80,95,95,75
27,thematic,,,,,,,,,,,,,,,,,,,,,
28,thematic,40,70,50,60,30,90,80,30,80,80,40,70,90,50,100,90,90,60,90,90,70
29,thematic,80,70,44,40,50,40,99,20,80,30,80,70,80,70,99,80,70,50,70,77,70
30,thematic,80,80,40,80,60,60,80,80,60,80,70,75,70,70,100,80,90,60,90,60,80
31,thematic,55,85,60,95,60,90,95,85,80,80,90,95,100,75,100,50,90,90,95,95,90
32,thematic,77,86,33,67,70,89,90,99,77,56,65,97,76,34,99,55,76,60,45,34,85
33,thematic,90,90,75,70,80,60,100,60,90,60,90,95,65,20,100,30,100,40,35,20,50
34,thematic,90,50,90,20,30,30,90,30,80,20,90,60,40,60,90,50,60,20,30,60,70
35,thematic,,,,,,,,,,,,,,,,,,,,,
36,thematic,60,90,80,60,20,90,90,60,80,60,70,90,90,95,100,50,70,60,80,75,85
37,thematic,70,80,75,80,90,85,88,75,90,80,90,95,80,85,99,75,80,75,85,85,80
38,thematic,80,70,70,80,70,70,90,40,80,70,70,90,70,60,80,50,70,60,80,80,90
39,thematic,45,65,70,60,45,45,90,85,85,25,60,90,85,70,95,25,60,75,65,25,35
40,thematic,70,100,90,80,50,80,90,85,50,60,70,95,90,50,100,90,90,95,80,100,100
41,thematic,80,97,80,55,70,98,95,85,70,70,70,80,95,70,85,35,70,65,50,50,80
42,thematic,95,80,70,80,75,100,95,80,80,100,100,95,95,90,100,80,50,90,95,95,90
43,thematic,90,70,100,90,80,100,90,90,90,80,70,90,100,80,100,90,80,100,100,100,100
44,thematic,,,,,,,,,,,,,,,,,,,,,
45,thematic,10,95,20,95,10,80,90,80,60,40,90,90,60,60,90,60,95,50,75,20,70
46,semantic,35,20,50,55,10,85,65,85,75,15,55,25,90,78,85,55,75,30,60,45,55
47,semantic,50,30,40,40,20,40,20,30,40,20,100,50,40,50,100,30,40,40,30,40,50
48,semantic,50,0,100,70,100,100,100,50,90,50,90,80,100,90,100,0,90,0,40,0,100
49,semantic,30,50,30,50,50,80,30,20,60,30,10,50,20,20,90,60,50,50,70,50,50
50,semantic,30,20,60,50,40,80,80,90,70,80,60,75,70,80,90,40,15,20,80,20,50
51,semantic,75,90,90,95,50,90,95,90,90,75,85,90,90,85,99,90,98,80,90,95,80
52,semantic,70,60,70,60,50,90,80,85,80,70,75,70,60,80,90,30,80,30,80,70,90
53,semantic,50,50,100,50,90,90,100,90,90,50,90,90,80,80,100,50,100,50,99,50,100
54,semantic,30,0,50,80,80,50,80,80,75,95,80,60,70,50,90,40,60,10,70,10,70
55,semantic,50,90,100,70,70,100,50,60,50,50,0,30,70,40,80,90,60,80,60,50,90
56,semantic,100,1,100,0,100,100,100,50,100,0,0,100,0,0,100,100,100,100,100,100,100
57,semantic,30,50,30,60,90,50,80,70,50,30,20,60,40,70,100,30,30,10,20,10,100
58,semantic,10,90,80,98,70,90,95,90,98,98,90,85,95,90,100,80,95,50,60,80,60
59,semantic,70,50,90,80,90,90,100,80,100,70,80,80,90,90,100,40,40,60,90,30,100
60,semantic,70,100,0,50,0,80,60,70,60,70,80,50,50,80,100,50,0,50,70,50,50
61,semantic,50,50,50,50,50,60,60,70,70,80,70,80,50,60,100,60,20,70,80,50,70
62,semantic,0,50,20,80,25,85,80,75,25,40,60,80,75,90,95,20,60,50,80,50,75
63,semantic,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,70,100
64,semantic,10,50,25,50,50,75,100,25,50,25,25,100,75,5,100,100,50,75,50,75,75
65,semantic,0,0,100,30,20,100,60,70,,80,100,70,100,80,100,60,0,100,100,0,40
66,semantic,30,50,70,80,80,90,95,40,80,60,80,85,80,80,100,60,50,75,70,60,95
67,semantic,60,0,30,10,80,80,90,30,50,30,40,80,20,40,95,10,30,0,50,40,80
68,semantic,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100
69,semantic,75,0,75,75,50,85,100,25,85,50,85,75,75,25,100,85,85,50,85,75,90
70,association,100,50,100,50,100,50,100,100,50,50,50,100,50,100,100,50,50,100,100,25,50
71,association,40,90,75,60,165,45,100,40,75,65,40,90,30,40,100,20,75,20,25,20,40
72,association,10,75,5,10,5,25,40,20,20,20,25,50,75,30,40,20,25,5,20,5,10
73,association,70,100,80,100,40,70,90,80,70,40,100,100,70,40,100,20,100,0,60,40,60
74,association,100,55,55,99,55,65,60,60,25,50,60,100,60,50,65,654,65,30,75,75,56
75,association,60,90,21,30,30,50,60,50,30,50,90,90,90,40,100,80,40,10,21,30,50
76,association,50,100,100,100,50,100,100,100,100,70,100,100,100,100,100,50,100,90,100,20,35
77,association,70,80,40,1,5,40,90,99,10,40,99,95,40,10,100,8,80,50,80,70,10
78,association,75,90,25,50,10,75,75,95,50,75,20,75,50,50,90,25,75,50,95,10,10
79,association,85,90,35,50,20,50,60,55,75,10,55,60,75,50,90,25,75,10,45,65,65
80,association,40,90,75,0,20,25,20,50,10,0,70,90,30,20,95,0,60,20,30,0,20
81,association,46,75,10,30,12,41,48,43,62,40,30,48,58,20,91,38,21,50,12,25,7
82,association,5,80,30,50,5,70,60,80,50,10,10,50,50,50,80,20,50,50,40,10,60
83,association,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,90,100,80,100
84,association,,,,,,,,,,,,,,,,,,,,,
85,association,20,60,80,50,0,40,90,10,50,20,10,90,80,0,80,0,70,70,0,0,40
86,association,60,80,50,80,50,80,75,75,40,65,85,85,80,70,80,20,80,10,20,20,50
87,association,80,95,20,70,10,30,80,80,75,75,60,95,40,45,95,50,30,85,40,70,65
88,association,80,80,100,70,40,70,100,80,60,70,100,80,80,60,100,50,60,60,60,10,60
89,association,50,80,60,50,60,60,100,40,20,70,90,80,50,20,100,70,90,30,30,70,90
90,association,75,85,50,80,67,50,68,95,75,56,35,89,95,15,99,25,85,15,75,25,69
91,association,80,90,50,90,60,65,90,90,80,90,70,80,90,70,90,90,70,90,90,90,80
92,association,91,75,70,75,66,65,85,70,80,55,75,72,87,85,90,60,78,55,64,68,73
93,association,,,,,,,,,,,,,,,,,,,,,
94,association,100,100,50,100,20,100,100,100,100,80,100,100,40,100,100,100,100,100,100,100,100
95,association,80,95,60,30,30,50,85,85,70,60,70,95,70,60,100,60,100,65,30,20,45
96,association,60,100,90,80,80,95,60,90,80,90,60,75,60,80,85,95,100,50,80,40,70
97,association,55,95,25,60,55,75,98,95,70,75,80,80,65,35,98,54,75,65,40,40,85
98,association,,,,,,,,,,,,,,,,,,,,,
99,association,10,100,0,50,30,40,60,60,60,25,80,20,30,40,100,10,30,40,20,10,0
100,association,100,100,75,100,75,75,100,75,100,100,75,50,75,75,100,75,50,50,75,75,75
101,association,40,80,60,60,70,60,70,40,10,60,40,80,60,5,80,50,70,70,50,20,50
102,association,40,80,,40,40,75,100,50,60,50,40,80,60,70,100,60,50,60,75,80,65
103,association,50,30,60,40,40,40,50,50,60,60,40,30,50,60,30,50,40,50,40,50,40
104,association,,,,,,,,,,,,,,,,,,,,,
105,association,30,90,20,70,10,10,60,90,70,55,70,80,80,50,95,20,40,30,15,40,30
106,association,,,,,,,,,,,,,,,,,,,,,
107,association,88,91,12,20,41,28,66,79,11,12,92,84,82,32,82,4,76,20,34,14,41
108,association,25,60,2,10,2,12,15,55,25,4,5,30,8,6,20,2,20,1,1,9,5
109,association,50,100,80,100,50,80,90,50,80,50,80,70,100,50,100,50,80,50,90,90,80
110,association,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,70,100
111,association,90,90,100,80,90,90,80,90,80,70,80,90,100,100,100,85,80,100,100,100,100
112,association,50,65,10,25,1,15,50,20,35,5,50,50,20,25,65,20,40,35,50,30,20
